,Leukemia,Colon/Colorectal Cancer,Bladder Cancer,Lung Cancer,Ovarian Cancer,Skin Cancer,Breast Cancer,Pancreatic Cancer,Brain Cancer,Lymphoma,Kidney Cancer,Sarcoma,Bone Cancer,Gastric Cancer,Neuroblastoma,Rhabdoid,Prostate Cancer,Fibroblast,Gallbladder Cancer,Thyroid Cancer,Bile Duct Cancer,Head and Neck Cancer,Myeloma,Liver Cancer,Endometrial/Uterine Cancer,Esophageal Cancer,Cervical Cancer,Eye Cancer
ABCD2 (225),4897.0,4685.5,6419.0,5867.5,5950.0,6709.5,5630.0,4896.5,6100.0,4680.0,5067.5,6406.0,6291.0,6951.0,7397.0,5051.5,10740.0,5252.0,11517.0,6526.0,4722.0,5780.0,5139.0,5919.5,7776.0,5310.0,8555.0,5382.5
ABCD3 (5825),9012.0,12491.5,11954.0,11839.0,12380.0,9805.5,12474.0,10736.0,11002.0,10956.0,11268.0,12671.0,11541.0,11976.5,12357.5,9617.5,11013.0,11183.0,12511.0,10482.0,13751.0,11078.0,12634.5,11353.0,11539.0,11149.5,10118.0,7964.0
ABCD4 (5826),12622.0,13576.5,13809.0,13405.5,13344.0,12028.5,13406.0,14402.0,13135.0,13926.0,12264.5,12527.5,12396.0,12854.0,12529.5,13503.0,3673.0,14426.0,14170.0,11193.0,11193.0,13520.0,12838.0,11280.0,11981.0,13087.0,12733.5,11822.5
ABCE1 (6059),17520.0,17574.5,17542.0,17526.0,17618.0,17517.0,17500.0,17500.0,17578.0,17738.0,17521.0,17511.0,17654.0,17458.0,17547.0,17667.0,17244.0,17535.0,17735.0,17564.0,17524.0,17564.0,17435.5,17414.5,17467.5,17482.0,17610.5,17480.0
ABCF1 (23),17165.0,17340.0,17151.0,17257.0,17325.0,17215.5,17141.0,17343.0,17104.5,17352.0,17290.5,17123.5,17240.0,17082.0,17142.0,17513.5,17320.0,17273.0,17977.0,17384.0,17374.0,17193.0,17100.5,17222.0,17239.0,17272.5,17337.0,17086.0
ABCF2 (10061),12936.0,12374.0,10588.0,11499.5,12636.0,13869.5,12062.0,11764.5,13475.0,12328.0,13663.5,12632.0,11536.0,12755.0,13426.0,6405.0,12928.0,13098.0,14432.0,13357.5,13197.0,11394.5,11670.5,11847.0,11180.0,11826.5,9811.5,11578.0
ABCF3 (55324),6210.0,6227.5,6986.0,5307.0,6378.0,7086.5,5565.0,5405.5,6075.5,6334.0,6580.5,5237.5,6823.0,5385.0,6403.0,3105.5,5654.0,3621.0,6373.0,3906.5,7657.0,5988.5,11507.0,5941.0,6054.0,4871.0,9302.5,4766.0
ABCG1 (9619),16572.0,15892.0,15928.0,16244.0,16374.0,16279.0,16287.0,16270.0,15619.5,16428.0,16014.0,16270.5,16312.0,16070.0,16515.5,16446.5,16741.0,15048.0,17213.0,16043.5,16043.0,16159.0,16388.0,16045.5,16346.5,16337.0,16568.0,16652.5
ABCG2 (9429),3267.0,2597.5,2570.0,2697.5,2299.0,2614.0,1743.0,2306.0,2683.5,2052.0,2111.5,3342.0,3339.0,1797.5,2524.5,2417.0,10032.0,3829.0,4127.0,2573.5,4321.0,1848.0,2816.5,3368.0,2788.5,2576.0,1498.0,2346.0
ABCG4 (64137),8592.0,9076.0,5659.0,5891.0,6508.0,5896.5,6155.0,8922.5,5664.0,6596.0,5547.5,5807.5,6601.0,7175.0,8403.0,6128.5,9639.0,3418.0,6819.0,5434.5,5805.0,5595.5,6845.0,7863.0,6976.5,8074.0,7235.0,6202.5
