source,target,JaccSim
ACH-000528,ACH-000601,0.3696788648244959
ACH-000528,ACH-000624,0.3748125937031484
ACH-000528,ACH-000696,0.35151068533529845
ACH-000528,ACH-000711,0.3696788648244959
ACH-000528,ACH-000781,0.35550628233555065
ACH-000528,ACH-000867,0.3615441722345954
ACH-000528,ACH-000906,0.3645833333333333
ACH-000542,ACH-000711,0.35550628233555065
ACH-000601,ACH-000624,0.3717277486910995
ACH-000601,ACH-000649,0.35151068533529845
ACH-000601,ACH-000657,0.37070254110612855
ACH-000601,ACH-000693,0.35751295336787564
ACH-000601,ACH-000696,0.3686567164179104
ACH-000601,ACH-000699,0.35952557449962935
ACH-000601,ACH-000711,0.37894736842105264
ACH-000601,ACH-000721,0.35550628233555065
ACH-000601,ACH-000753,0.3696788648244959
ACH-000601,ACH-000781,0.40106951871657753
ACH-000601,ACH-000788,0.38206480783722685
ACH-000601,ACH-000827,0.3686567164179104
ACH-000601,ACH-000867,0.362555720653789
ACH-000601,ACH-000906,0.3585185185185185
ACH-000601,ACH-000943,0.3635687732342007
ACH-000601,ACH-000973,0.35650887573964496
ACH-000601,ACH-000980,0.3686567164179104
ACH-000601,ACH-001028,0.3696788648244959
ACH-000601,ACH-001151,0.35151068533529845
ACH-000601,ACH-001173,0.38206480783722685
ACH-000601,ACH-001295,0.35350553505535054
ACH-000624,ACH-000639,0.35650887573964496
ACH-000624,ACH-000649,0.35151068533529845
ACH-000624,ACH-000693,0.37378277153558054
ACH-000624,ACH-000696,0.3810240963855422
ACH-000624,ACH-000711,0.4206041828040279
ACH-000624,ACH-000781,0.35550628233555065
ACH-000624,ACH-000788,0.3779113448534936
ACH-000624,ACH-000827,0.3585185185185185
ACH-000624,ACH-000867,0.3904473085670963
ACH-000624,ACH-000906,0.39893211289092295
ACH-000624,ACH-000943,0.3635687732342007
ACH-000624,ACH-000980,0.3645833333333333
ACH-000624,ACH-001028,0.35650887573964496
ACH-000624,ACH-001173,0.3655994043186895
ACH-000639,ACH-000657,0.35051546391752575
ACH-000639,ACH-000696,0.35550628233555065
ACH-000639,ACH-000711,0.3883421650264951
ACH-000647,ACH-000711,0.35151068533529845
ACH-000649,ACH-000711,0.3768768768768769
ACH-000649,ACH-000753,0.35450516986706054
ACH-000649,ACH-000788,0.35751295336787564
ACH-000649,ACH-000867,0.35151068533529845
ACH-000649,ACH-001028,0.35751295336787564
ACH-000649,ACH-001151,0.35051546391752575
ACH-000657,ACH-000711,0.35350553505535054
ACH-000657,ACH-000788,0.3635687732342007
ACH-000657,ACH-000867,0.35350553505535054
ACH-000657,ACH-001173,0.35650887573964496
ACH-000657,ACH-001295,0.3758439609902476
ACH-000693,ACH-000694,0.35450516986706054
ACH-000693,ACH-000711,0.38729198184568836
ACH-000693,ACH-000788,0.35151068533529845
ACH-000693,ACH-000866,0.35550628233555065
