,std,mean,median,max,min
ACKR4 (51554),1791.159711891311,4445.3648,4478.0,8857.0,83.0
ACLY (47),2082.513602483356,7634.2352,8371.0,10283.0,26.0
ACO2 (50),2126.845222986625,7937.4952,8676.0,10497.0,248.0
ACOT12 (134526),888.7452379099943,8102.6336,8291.0,9560.0,1991.0
ACOT4 (122970),1827.5738829893075,5703.8928,6042.0,9610.0,306.0
ACOT6 (641372),1687.1845875683564,3297.4128,3143.0,8383.0,62.0
ACOT8 (10005),1932.2421024942194,3289.9264,3072.0,8579.0,36.0
ACOX1 (51),2390.59374375746,4078.368,3864.0,9993.0,68.0
ACOXL (55289),1775.2629294969672,5013.752,5283.0,8999.0,460.0
ACP4 (93650),1325.97395460556,1208.1536,762.0,8807.0,6.0
ACP6 (51205),1740.9979303482594,4465.6208,4465.0,8919.0,252.0
ACP7 (390928),1852.3961705329473,3467.2848,3297.0,8951.0,54.0
ACR (49),1961.1432874166762,4659.4416,4758.0,9084.0,135.0
ACSF2 (80221),1924.2148313586279,4342.2448,4333.0,9153.0,168.0
ACSL3 (2181),2165.9714383276805,7213.5344,7842.0,10412.0,18.0
ACSL4 (2182),2565.8306910089264,3670.8634020618556,,,
ACSL6 (23305),1690.349135536874,2930.9824,2688.0,8955.0,31.0
ACSM4 (341392),1234.6121382473495,1131.9344,691.0,9018.0,1.0
ACSM5 (54988),1393.2567025939895,1282.1728,771.0,9710.0,15.0
ACSS3 (79611),1462.1058648436701,1693.1024,1260.0,8565.0,15.0
ACTA1 (58),1643.1577528508471,6195.6144,6502.0,9155.0,771.0
ACTB (60),1337.8792666447703,8709.4688,9026.0,10538.0,858.0
ACTC1 (70),1902.9809878296278,2819.6048,2544.0,9036.0,55.0
ACTG1 (71),1542.3039959864907,7516.7824,7931.0,10102.0,16.0
ACTG2 (72),1413.3921478685277,1564.9888,1118.0,8686.0,32.0
ACTL6A (86),228.9177205561321,10141.2928,10182.0,10537.0,8495.0
ACTL7A (10881),1596.5806709114968,6578.5376,6929.0,9155.0,415.0
ACTL7B (10880),2068.6406732540636,3021.2752,2616.0,9093.0,15.0
ACTL8 (81569),2012.4930000094855,3742.3536,3718.0,8855.0,19.0
ACTL9 (284382),1809.4634263809414,2828.296,2567.0,9463.0,12.0
ACTN1 (87),1756.0443689228473,5503.7744,5795.0,8921.0,172.0
ACTN2 (88),1912.9378481694,3927.3184,3932.0,8656.0,90.0
ACTN4 (81),1987.9867178746829,2467.0816,2037.0,8861.0,7.0
ACTR10 (55860),363.5514124965066,9427.6352,9464.0,10356.0,7996.0
ACTR1A (10121),733.9899156323607,9456.792,9599.0,10513.0,3564.0
