,ACH-000004,ACH-000005,ACH-000045,ACH-000070,ACH-000782,ACH-000938,ACH-000113,ACH-000146,ACH-000960,ACH-000168,ACH-000183,ACH-000198,ACH-000263,ACH-000294,ACH-000295,ACH-000326,ACH-000336,ACH-000937,ACH-000362,ACH-000363,ACH-000387,ACH-000406,ACH-000487,ACH-000498,ACH-000557,ACH-000604,ACH-000770,ACH-000953,ACH-000983,ACH-001737,ACH-001735,ACH-001736,ACH-000151
ACH-000183,0.6769022643095166,0.6215181849208967,0.709411748369444,0.6845323070371736,0.6900912345918321,0.7103188145662027,0.7360405109730229,0.7302952078970409,0.7317576024671945,0.6650511528743457,1.0,0.7398771712369463,0.603326820828778,0.6500317381006732,0.635341407324552,0.7326926162934634,0.6098412468452777,0.7457173383568703,0.717535100289358,0.7304437291123906,0.7282566400669623,0.7741310895926734,0.7336750892548833,0.4642687322929011,0.6630783939472666,0.6185624730102144,0.7523707124537767,0.713384169122038,0.738756630495523,0.513353477646948,0.7504987175795212,0.7199503920337987,0.6417321025359869
ACH-000198,0.7012648983046202,0.6497345213972218,0.7776137072457818,0.713698067401972,0.7235935825855542,0.7559908793340926,0.7993010138412291,0.7725240493559207,0.7840974671949328,0.7143539103150335,0.7398771712369463,1.0,0.6283706856148732,0.6813661943036101,0.6719016186699202,0.7656896483239968,0.6454715619889556,0.7813059612618473,0.7886167821065765,0.753758836092634,0.7684950645461477,0.8209189838525317,0.7790814245701205,0.48482731197078843,0.6956126625022356,0.6451984901945843,0.8099348283073876,0.7424285531530785,0.7783001253238694,0.5405479257506128,0.7952474505444954,0.7631493371091496,0.6688038188274363
ACH-000263,0.5773527302718012,0.540255323163114,0.6189939857034203,0.5807415086537787,0.6049611413233603,0.6132261922937323,0.6223700967685571,0.6270212222300174,0.643550437321296,0.5817721847534454,0.603326820828778,0.6283706856148732,1.0,0.5628431236906827,0.5573761687502589,0.6106098257206396,0.5240010032571181,0.6495471238324332,0.6154099926668035,0.6305698991970606,0.6137653029418052,0.6460382303121983,0.6164560748388864,0.4215089755165975,0.5799638845534246,0.5308876548461589,0.6396770502167384,0.6196510782160503,0.6507044723235756,0.4595438814862396,0.6689185224881868,0.6377137082627853,0.554700854388895
ACH-000294,0.6320710192476288,0.5701765700722436,0.6805767841296874,0.5983586190235038,0.6161762387540091,0.6301039867537059,0.6750304162692509,0.721734152681224,0.6653218712976069,0.6412395895781811,0.6500317381006732,0.6813661943036101,0.5628431236906827,1.0,0.6093198910744952,0.6703191749623685,0.537567035725878,0.653994994822578,0.7338881416032639,0.6379661538099286,0.7235847639979113,0.7390906444630101,0.655675607208073,0.41295397380575705,0.6270702059610064,0.5697564093560181,0.7234271938836732,0.6393511908419501,0.6717027013703456,0.47530985863233055,0.703532436413171,0.6486240863405152,0.5619351167766155
ACH-000295,0.6016712299590696,0.5595704753847569,0.65136871810614,0.6123315342523478,0.6267026900638744,0.6416265275512867,0.6718598335441142,0.6567691842433665,0.6661998696329285,0.6088681942432589,0.635341407324552,0.6719016186699202,0.5573761687502589,0.6093198910744952,1.0,0.6583104581975395,0.555899526707895,0.6542296109877523,0.6574486062035338,0.6416325030429683,0.6602186273461074,0.6928894401733529,0.6544660133661605,0.4046338363066048,0.6003130474756814,0.570124831147308,0.6778045046960448,0.6333144117894237,0.6708697087016974,0.4783034102915252,0.6844401619773983,0.6530903609709067,0.5834862560273344
ACH-000326,0.6927431242522369,0.6358915885207853,0.7252498149648815,0.6920264760083431,0.6959495702138714,0.7252714950868454,0.7541068763974059,0.748492142365196,0.7441852432383012,0.673984704139367,0.7326926162934634,0.7656896483239968,0.6106098257206396,0.6703191749623685,0.6583104581975395,1.0,0.6180482623380265,0.7511737530866688,0.7375619552106994,0.7270328215804355,0.750689651223386,0.7922247023544454,0.7505417589002931,0.470145297840827,0.668739931319038,0.6442110078544377,0.7697571836845118,0.7108335475417725,0.7546384835013957,0.5203076580738631,0.76214750448166,0.7352223841583139,0.6442640234573385
ACH-000336,0.564879639891081,0.5368995520321929,0.6183091388951804,0.5938260479384684,0.5947655248716284,0.6149252451096335,0.6509299856465056,0.6206643851864073,0.6347431874083271,0.5802244625040509,0.6098412468452777,0.6454715619889556,0.5240010032571181,0.537567035725878,0.555899526707895,0.6180482623380265,1.0,0.6380254383071267,0.6162447905797414,0.6165982085350469,0.6091146696300395,0.6498796371308774,0.6209908921365542,0.39204479969666134,0.5766450501030871,0.5446966492777446,0.6434909482035975,0.6104471900351521,0.6311495128352695,0.45003966770258313,0.6403361225425463,0.6143250116922682,0.5549593427087546
ACH-000937,0.6933641731438719,0.6584488447347172,0.7416775962704707,0.7393648063583977,0.7547677354482399,0.7856725114593212,0.7615142139715759,0.7568718575958706,0.8269114085830236,0.6984599129471994,0.7457173383568703,0.7813059612618473,0.6495471238324332,0.653994994822578,0.6542296109877523,0.7511737530866688,0.6380254383071267,1.0,0.734473699162202,0.7706725664461592,0.7538782168195599,0.804566063597537,0.777031979502358,0.482522277423398,0.7213875025919886,0.6437668476893704,0.7958380036061978,0.8333239333192124,0.7727318722144397,0.5695845052213974,0.8097648544215661,0.7883957739655076,0.6835080893688521
ACH-000362,0.6933827909457967,0.629174311528571,0.7826035600712287,0.6714998966231248,0.6799820962994442,0.7096817321864003,0.7844714130597057,0.8020419125722904,0.7513406760667906,0.7221694985722815,0.717535100289358,0.7886167821065765,0.6154099926668035,0.7338881416032639,0.6574486062035338,0.7375619552106994,0.6162447905797414,0.734473699162202,1.0,0.7267620259974392,0.7766992568312487,0.8235023723709233,0.7432641542514246,0.46503002254683706,0.694330367694746,0.6236213180811958,0.8190721099945214,0.7061531489822059,0.7537194162424848,0.526373565418562,0.7844847728160583,0.730014115067443,0.6307851440507891
ACH-000363,0.6738667995584614,0.6313779294636122,0.7163418446066986,0.6950257252544711,0.7012367266292195,0.7292135338699,0.7405457334531302,0.746244505412369,0.7583605995739272,0.6801390671383555,0.7304437291123906,0.753758836092634,0.6305698991970606,0.6379661538099286,0.6416325030429683,0.7270328215804355,0.6165982085350469,0.7706725664461592,0.7267620259974392,1.0,0.7298799258729574,0.7855027406823848,0.7476533249079619,0.48618908389764204,0.704737423572794,0.6200752649653839,0.7694049197424085,0.7253559154751607,0.7567731521466359,0.5292717462001071,0.7809827666394753,0.7507858650965112,0.6584019265936238
