,x,y,measure
185,ACH-000517,ACH-000307,0.8059058477246333
186,ACH-000517,ACH-000320,0.6872997687809796
187,ACH-000517,ACH-000332,0.8463336950176717
188,ACH-000517,ACH-000468,0.79477208274168
189,ACH-000517,ACH-000502,0.8325862199702141
190,ACH-000601,ACH-000022,0.7914839637824783
191,ACH-000601,ACH-000042,0.8331259894451958
192,ACH-000601,ACH-000060,0.7534437787268822
193,ACH-000601,ACH-000085,0.7282285797982705
194,ACH-000601,ACH-000108,0.8196987444852051
195,ACH-000601,ACH-000118,0.8493735716278691
196,ACH-000601,ACH-000138,0.8299549568788056
197,ACH-000601,ACH-000178,0.8398477290581735
198,ACH-000601,ACH-000222,0.7360948509572257
199,ACH-000601,ACH-000235,0.873159806601247
200,ACH-000601,ACH-000243,0.8654631827627844
201,ACH-000601,ACH-000265,0.839676011375103
202,ACH-000601,ACH-000266,0.8794023956304065
203,ACH-000601,ACH-000281,0.7434289052223909
204,ACH-000601,ACH-000307,0.8184445289010559
205,ACH-000601,ACH-000320,0.7588461893288524
206,ACH-000601,ACH-000332,0.8720422347533899
207,ACH-000601,ACH-000468,0.8049153497829103
208,ACH-000601,ACH-000502,0.8710136009683108
209,ACH-000601,ACH-000517,0.8591009163224268
210,ACH-000652,ACH-000022,0.7051609541406771
211,ACH-000652,ACH-000042,0.7143006334388563
212,ACH-000652,ACH-000060,0.6783547650591332
213,ACH-000652,ACH-000085,0.6563657869990972
214,ACH-000652,ACH-000108,0.6966361193829962
215,ACH-000652,ACH-000118,0.7008683669715157
216,ACH-000652,ACH-000138,0.7073988701032362
217,ACH-000652,ACH-000178,0.7257937436378947
218,ACH-000652,ACH-000222,0.6222430614645799
219,ACH-000652,ACH-000235,0.7468599866393206
220,ACH-000652,ACH-000243,0.6990858962367995
221,ACH-000652,ACH-000265,0.6902589822985612
222,ACH-000652,ACH-000266,0.7272555431177155
223,ACH-000652,ACH-000281,0.6503111816707635
224,ACH-000652,ACH-000307,0.7314178814186968
225,ACH-000652,ACH-000320,0.6147758120441046
226,ACH-000652,ACH-000332,0.7262770667065092
227,ACH-000652,ACH-000468,0.6978454349849923
228,ACH-000652,ACH-000502,0.7179873322073049
229,ACH-000652,ACH-000517,0.7375867204663443
230,ACH-000652,ACH-000601,0.7423387281729916
231,ACH-001353,ACH-000022,0.7651580342134494
232,ACH-001353,ACH-000042,0.7784268861877995
233,ACH-001353,ACH-000060,0.7572928903611128
234,ACH-001353,ACH-000085,0.7076011913855372
235,ACH-001353,ACH-000108,0.7532014843677494
236,ACH-001353,ACH-000118,0.7756764171446598
237,ACH-001353,ACH-000138,0.7735197862408634
238,ACH-001353,ACH-000178,0.7938585721138259
239,ACH-001353,ACH-000222,0.6753760026553222
240,ACH-001353,ACH-000235,0.8362294312766286
241,ACH-001353,ACH-000243,0.7832451359531041
242,ACH-001353,ACH-000265,0.7572115718594095
243,ACH-001353,ACH-000266,0.8180196585558176
244,ACH-001353,ACH-000281,0.6789198200922729
245,ACH-001353,ACH-000307,0.7852505774486812
246,ACH-001353,ACH-000320,0.6665589120415761
247,ACH-001353,ACH-000332,0.818014630036009
248,ACH-001353,ACH-000468,0.7509715597647191
249,ACH-001353,ACH-000502,0.8034415757709168
250,ACH-001353,ACH-000517,0.8228141085114467
251,ACH-001353,ACH-000601,0.8204371673075499
252,ACH-001353,ACH-000652,0.7088704104711074
253,ACH-001375,ACH-000022,0.7399097140749045
254,ACH-001375,ACH-000042,0.7428397247873829
255,ACH-001375,ACH-000060,0.7229428091917969
256,ACH-001375,ACH-000085,0.6853472528505546
257,ACH-001375,ACH-000108,0.7147065836016904
258,ACH-001375,ACH-000118,0.7371044795098954
259,ACH-001375,ACH-000138,0.7323211324715049
260,ACH-001375,ACH-000178,0.7587232569385532
261,ACH-001375,ACH-000222,0.6400423665350946
262,ACH-001375,ACH-000235,0.7812125932360087
263,ACH-001375,ACH-000243,0.7315037590234541
264,ACH-001375,ACH-000265,0.7139370454782865
265,ACH-001375,ACH-000266,0.7757819085140697
266,ACH-001375,ACH-000281,0.6549377368204823
267,ACH-001375,ACH-000307,0.7539515834982454
268,ACH-001375,ACH-000320,0.626565625958996
269,ACH-001375,ACH-000332,0.7662037836365654
270,ACH-001375,ACH-000468,0.7196614657891081
